'id_car_serie','id_car_model','id_car_generation','name','date_create','date_update','id_car_type'
'62994','618','122791','Седан','1586650477','1586650477','1'
'62995','20052','122812','Седан','1586650534','1586650534','1'
'62996','22786','122813','Купе','1586652128','1586652128','1'
'62997','621','122792','Минивэн','1586652240','1586652240','1'
'62998','621','122793','Минивэн','1586652240','1586652240','1'
'62999','621','124688','Минивэн','1586652240','1586652240','1'
'63000','623','122794','Внедорожник','1586652559','1586652559','1'
'63001','624','122795','Внедорожник','1586652646','1586652646','1'
'63002','629','126484','Внедорожник','1586654234','1586654234','1'
'63003','630','615','Внедорожник','1586654738','1586654738','1'
'63004','19066','6665','Пикап','1586654979','1586654979','1'
'63005','19462','122814','Седан','1586655482','1586655482','1'
'63006','19462','122815','Кабриолет','1586655482','1586655482','1'
'63007','2177','126206','Кроссовер','1586781395','1586781395','1'
'63008','79','122617','Седан','1586857277','1586857277','1'
'63009','85','124685','Купе','1586857280','1586857280','1'
'63010','88','124798','Лифтбек','1586857281','1586857281','1'
'63011','89','126769','Седан','1586857283','1586857283','1'
'63012','91','122651','Купе','1586857283','1586857283','1'
'63013','91','122652','Купе','1586857283','1586857283','1'
'63014','102','124686','Купе','1586857285','1586857285','1'
'63015','104','122665','Лифтбек','1586857286','1586857286','1'
'63016','109','124687','Купе','1586857287','1586857287','1'
'63017','112','122673','Седан','1586857287','1586857287','1'
'63018','22779','122704','Компактвэн','1586857324','1586857324','1'
'63019','2320','122734','Кабриолет','1586857382','1586857382','1'
'63020','295','122743','Седан','1586857386','1586857386','1'
'63021','295','122744','Седан','1586857386','1586857386','1'
'63022','295','122745','Седан','1586857386','1586857386','1'
'63023','295','122746','Седан','1586857386','1586857386','1'
'63024','295','122747','Седан','1586857386','1586857386','1'
'63025','295','122748','Седан','1586857386','1586857386','1'
'63026','22780','122761','Седан','1586857396','1586857396','1'
'63027','22781','122762','Седан','1586857401','1586857401','1'
'63028','20934','122766','Седан','1586857501','1586857501','1'
'63029','20934','122767','Седан','1586857501','1586857501','1'
'63031','362','122770','Минивэн','1586857506','1586857506','1'
'63033','2221','122771','Минивэн','1586857507','1586857507','1'
'63034','2221','122781','Минивэн','1586857507','1586857507','1'
'63035','19903','122772','Минивэн','1586857508','1586857508','1'
'63036','19896','122777','Седан','1586857510','1586857510','1'
'63037','19520','122779','Седан','1586857514','1586857514','1'
'63038','22783','122780','Кабриолет','1586857515','1586857515','1'
'63039','19916','122782','Седан','1586857517','1586857517','1'
'63040','395','122783','Микровэн','1586857518','1586857518','1'
'63042','19923','122784','Седан','1586857562','1586857562','1'
'63043','409','122788','Седан','1586857563','1586857563','1'
'63044','410','122789','Седан','1586857563','1586857563','1'
'63045','19926','122790','Седан','1586857564','1586857564','1'
'63046','653','122809','Купе','1586857572','1586857572','1'
'63047','20062','122816','Седан','1586857586','1586857586','1'
'63048','20062','122817','Седан','1586857586','1586857586','1'
'63049','20062','122818','Седан','1586857586','1586857586','1'
'63050','20064','122821','Минивэн','1586857591','1586857591','1'
'63051','19275','122822','Кабриолет','1586857593','1586857593','1'
'63052','20068','122824','Седан','1586857621','1586857621','1'
'63053','20068','122825','Седан','1586857621','1586857621','1'
'63054','20961','122828','Внедорожник','1586857622','1586857622','1'
'63055','20071','122829','Седан','1586857622','1586857622','1'
'63056','667','122840','Купе','1586857627','1586857627','1'
'63057','22787','126824','Компактвэн','1586857628','1586857628','1'
'63058','22787','122841','Компактвэн','1586857628','1586857628','1'
'63059','22788','122842','Седан','1586857628','1586857628','1'
'63060','753','122843','Седан','1586857629','1586857629','1'
'63061','753','127005','Седан','1586857629','1586857629','1'
'63063','776','122848','Компактвэн','1586857632','1586857632','1'
'63064','778','122849','Седан','1586857632','1586857632','1'
'63065','783','122852','Седан','1586857634','1586857634','1'
'63066','783','122853','Седан','1586857634','1586857634','1'
'63067','787','122854','Компактвэн','1586857635','1586857635','1'
'63068','790','122855','Минивэн','1586857635','1586857635','1'
'63069','803','122858','Минивэн','1586857637','1586857637','1'
'63070','803','122859','Минивэн','1586857637','1586857637','1'
'63071','803','6013','Минивэн','1586857638','1586857638','1'
'63072','20154','122860','Седан','1586857639','1586857639','1'
'63073','19404','122861','Микровэн','1586857640','1586857640','1'
'63074','20157','122864','Седан','1586857642','1586857642','1'
'63075','759','122865','Седан','1586857642','1586857642','1'
'63076','759','122866','Седан','1586857642','1586857642','1'
'63077','772','122868','Седан','1586857646','1586857646','1'
